"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","684","@fast should load login page","chromium","2026-07-28","passed","2026-07-28","@smoke DTS Smoke Tests","smoke.spec.ts","",""
"","32039","@fast login page loads and logs in as admin","chromium","2026-07-28","broken","2026-07-28","@smoke UX Smoke — Routing & Identity","ux-smoke.spec.ts","",""
"","31871","@critical should login as student and see progress","chromium","2026-07-28","broken","2026-07-28","@smoke DTS Smoke Tests","smoke.spec.ts","",""
"","31908","@critical student cannot access admin route","chromium","2026-07-28","broken","2026-07-28","@smoke UX Smoke — Routing & Identity","ux-smoke.spec.ts","",""
"","31922","@critical all routes survive refresh without 404","chromium","2026-07-28","broken","2026-07-28","@smoke UX Smoke — Routing & Identity","ux-smoke.spec.ts","",""
"","31961","@smoke deep link refresh preserves identity","chromium","2026-07-28","broken","2026-07-28","@smoke UX Smoke — Routing & Identity","ux-smoke.spec.ts","",""
"","31911","@critical app bar shows user identity after login","chromium","2026-07-28","broken","2026-07-28","@smoke UX Smoke — Routing & Identity","ux-smoke.spec.ts","",""
"","31829","@smoke navigation between pages works","chromium","2026-07-28","broken","2026-07-28","@smoke DTS Full Business Flow","business-flow.spec.ts","",""
"","4038","@fast login page has no critical a11y violations","chromium","2026-07-28","passed","2026-07-28","@smoke a11y — Critical pages","a11y-smoke.spec.ts","",""
"","31837","@critical student can view progress and eligibility","chromium","2026-07-28","broken","2026-07-28","@smoke DTS Full Business Flow","business-flow.spec.ts","",""
"","31907","@critical student sees progress and eligibility","chromium","2026-07-28","broken","2026-07-28","@smoke UX Smoke — Student Dashboard","ux-smoke.spec.ts","",""
"","31856","@critical should login as admin and see dashboard","chromium","2026-07-28","broken","2026-07-28","@smoke DTS Smoke Tests","smoke.spec.ts","",""
"","1682","@smoke language switcher toggles to English and back","chromium","2026-07-28","passed","2026-07-28","@smoke DTS Full Business Flow","business-flow.spec.ts","",""
"","31874","@critical student sees no admin nav items","chromium","2026-07-28","broken","2026-07-28","@smoke UX Smoke — Routing & Identity","ux-smoke.spec.ts","",""
"","31932","@critical admin can view dashboard with stats","chromium","2026-07-28","broken","2026-07-28","@smoke DTS Full Business Flow","business-flow.spec.ts","",""
"","659","@fast should load landing page and navigate to login","chromium","2026-07-28","passed","2026-07-28","@smoke DTS Smoke Tests","smoke.spec.ts","",""
"","31755","@smoke sync buttons exist on integrations page","chromium","2026-07-28","broken","2026-07-28","@smoke UX Smoke — API Integration Buttons","ux-smoke.spec.ts","",""
"","31940","@smoke logout redirects to login","chromium","2026-07-28","broken","2026-07-28","@smoke UX Smoke — Routing & Identity","ux-smoke.spec.ts","",""
